file_name,zero_crossing_rate,rmse,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tempo,harmonic,chroma_stft,tonnetz,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,full_path
Song/classical\11.mp3,0.0742846471988592,0.069296025,1789.8537124751203,2144.965317228884,26.47590818669841,3813.350413736224,103.359375,-3.3132985e-06,0.24623936,-0.033149984761819,-220.52147,97.5873,-4.4128284,26.778254,-2.4062657,3.2886465,-8.561013,-1.9669205,-15.138622,-7.5249815,-4.5822525,-1.9126588,-6.1338787,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\11.mp3
Song/classical\12.mp3,0.0613151721408546,0.073423065,1109.614253871289,1414.9158944235448,27.85811548224133,1870.4617883102524,95.703125,-2.5927665e-08,0.22978844,-0.0145007357526777,-270.65555,147.77524,1.5669284,17.506226,-17.285072,-6.0389867,-16.062895,-7.8725543,-12.220381,-16.40814,-18.654728,-12.13511,-12.014854,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\12.mp3
Song/classical\13.mp3,0.0404746637543503,0.038747367,627.1030083618807,685.3734847791262,26.76635078808908,1102.548295660528,135.99917763157896,1.384962e-07,0.29247418,0.024758942680549,-361.83246,211.5543,4.8532643,2.7244854,13.991266,0.5710173,-1.6489315,-9.721395,-12.849723,-11.417294,-8.621256,-6.7175107,-8.330994,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\13.mp3
Song/classical\14.mp3,0.0993518283546017,0.076223776,2203.003322623481,2328.671233176205,26.16665261393448,4707.099082575043,103.359375,-9.5140774e-07,0.20761545,0.0325079766823691,-187.03732,83.83325,-6.7195024,13.64942,-19.802786,-12.231108,-16.624897,-0.14554217,-0.6772114,6.1758385,-3.032414,-0.72789407,-8.616344,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\14.mp3
Song/classical\15.mp3,0.0876727299642304,0.058872256,1854.4578277927053,2125.1709957463927,26.005334487565698,3873.232869371737,103.359375,-1.0618077e-06,0.22708464,-0.0274050004999725,-207.62964,107.02775,-5.303809,18.241215,-13.768411,-5.604701,-17.47713,-3.2610803,-10.793804,-4.0003777,-5.937574,4.8333507,-2.786223,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\15.mp3
Song/classical\16.mp3,0.0493056983278508,0.07808909,836.130462416871,872.8439765136256,26.150437022298632,1495.5836647435235,129.19921875,-8.9012325e-08,0.30376545,0.0182486104836219,-246.94965,207.73299,-37.448833,17.503223,0.803336,-6.537265,-7.5996075,-12.7371855,-9.438627,-11.091638,-4.284617,-5.5603304,-7.9468036,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\16.mp3
Song/classical\17.mp3,0.0451290074560131,0.046524562,714.8243687781938,1056.3748933309494,23.898456995737583,1033.160754422854,103.359375,-3.535026e-06,0.2223885,0.0047347232617431,-385.7674,200.66109,29.16042,-8.52348,4.493835,-1.1830119,-5.6563144,-4.6093144,-5.82545,-5.3071465,-3.204901,-1.128907,0.4639334,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\17.mp3
Song/classical\18.mp3,0.0417644739704176,0.09134933,675.4894655003824,961.745165602358,22.671400166986903,899.7606458907337,99.38401442307692,-3.884774e-06,0.26286325,0.0344939451470269,-287.30988,207.31941,25.457579,6.5242314,-10.326293,-7.390161,-3.9162498,-12.582883,-12.197364,-10.460593,-9.088938,2.7025313,3.071492,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\18.mp3
Song/classical\19.mp3,0.0899798871930587,0.055597134,2088.0122311554205,2398.6079608208506,25.058770887321923,4550.962542823739,129.19921875,2.3085752e-06,0.26238748,-0.0561998670465631,-214.89407,90.55826,4.413352,22.70764,-2.8391163,-0.44601598,-12.7415285,-11.757039,-11.077428,-2.211172,-6.324369,-1.2512779,-5.13422,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\19.mp3
Song/classical\20.mp3,0.0582195143319798,0.048585515,1281.5757756091782,1686.6275177855623,25.836729325864507,2382.583143760876,123.046875,-0.00020133314,0.2763726,-0.0471199499328712,-261.98392,139.27696,-15.072886,22.640577,6.5785146,0.38465336,-4.811133,0.7951393,-0.84621614,-0.53916806,-4.3093185,-3.9066613,-8.996665,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\20.mp3
