file_name,zero_crossing_rate,rmse,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tempo,harmonic,chroma_stft,tonnetz,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,path
Song/classical\18.mp3,0.041764474,0.09134933,675.4894655,961.7451656,22.67140017,899.7606459,99.38401442,-3.88E-06,0.26286325,0.034493945,-287.30988,207.31941,25.457579,6.5242314,-10.326293,-7.390161,-3.9162498,-12.582883,-12.197364,-10.460593,-9.088938,2.7025313,3.071492,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\18.mp3
Song/classical\19.mp3,0.089979887,0.055597134,2088.012231,2398.607961,25.05877089,4550.962543,129.1992188,2.31E-06,0.26238748,-0.056199867,-214.89407,90.55826,4.413352,22.70764,-2.8391163,-0.44601598,-12.7415285,-11.757039,-11.077428,-2.211172,-6.324369,-1.2512779,-5.13422,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\19.mp3
Song/classical\20.mp3,0.058219514,0.048585515,1281.575776,1686.627518,25.83672933,2382.583144,123.046875,-0.000201333,0.2763726,-0.04711995,-261.98392,139.27696,-15.072886,22.640577,6.5785146,0.38465336,-4.811133,0.7951393,-0.84621614,-0.53916806,-4.3093185,-3.9066613,-8.996665,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\20.mp3
Song/classical\21.mp3,0.073929104,0.060635183,1387.219096,1756.787475,25.86619313,2707.571305,135.9991776,6.57E-05,0.22545294,-0.061204281,-243.13419,127.62202,-7.592484,27.122093,-4.4310136,8.873921,-0.41753715,2.390188,-6.8643875,-5.7916875,-1.8864167,10.178561,2.5213773,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\21.mp3
Song/classical\22.mp3,0.072411203,0.02817461,1290.417072,1483.390711,25.18824718,2325.548467,123.046875,-1.14E-05,0.23563805,0.121239183,-335.1299,133.45575,-6.8309383,5.899591,-3.193357,-18.925386,-8.090738,-8.03429,-17.9812,-8.524862,-6.461715,-0.11581178,2.091121,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\22.mp3
Song/classical\23.mp3,0.082004249,0.056635987,1524.204235,1746.377517,23.94213361,2863.266522,103.359375,6.74E-07,0.2675557,-0.016719399,-220.76746,136.40994,-19.429052,19.29406,-6.4362993,-4.9762855,-3.508289,-2.42361,-14.008826,-0.07100848,-3.2081897,-0.27373168,-4.9799194,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\23.mp3
Song/classical\24.mp3,0.080960468,0.10201631,1568.346429,1793.781629,23.91850535,3047.206374,107.6660156,0.000223658,0.30658698,-0.049782602,-145.27393,134.10059,-23.329672,26.184963,-2.692822,-4.9089975,-5.8564663,1.2192627,-7.657946,-1.6900827,-10.072415,-5.801281,-8.844704,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\24.mp3
Song/classical\25.mp3,0.096027324,0.08849849,2392.082504,2613.902677,24.64869017,5511.484126,129.1992188,0.002899974,0.24507049,-0.041794587,-147.0189,76.83627,9.482215,28.481148,-4.4580007,1.3219359,-13.952729,-8.477109,-15.852155,-0.3047412,-4.821004,-5.050548,-10.575001,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\25.mp3
Song/classical\26.mp3,0.131771928,0.07583076,2848.409133,2937.964675,22.95035524,6670.405115,112.3471467,-3.80E-06,0.3107147,-0.007463467,-140.43817,71.52385,19.440245,17.872368,-2.7926784,1.7198617,-10.768412,2.8402164,-6.9164705,4.4915986,-1.9467686,3.6656961,-2.909989,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\26.mp3
Song/classical\27.mp3,0.065534103,0.054260373,1313.834287,1550.235832,24.41087345,2587.685655,107.6660156,-1.19E-06,0.28610167,-0.012817404,-264.50867,143.02826,-20.202345,30.380753,5.1609483,-7.398907,-6.6743064,-3.8789847,-10.6325,3.298418,-1.3065158,-3.78013,-6.2399535,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\27.mp3
Song/classical\28.mp3,0.06938503,0.06057292,1257.841545,1466.684428,25.36657552,2390.356247,129.1992188,-3.25E-05,0.24365486,0.03702814,-258.04037,149.9549,-21.169836,24.81949,-6.2123976,-4.568949,-3.3434312,-2.039604,-7.31154,0.27630955,-6.179412,-8.243028,-8.118163,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\28.mp3
Song/classical\29.mp3,0.089381148,0.057146583,1613.484718,1764.046998,27.18001345,3144.971779,95.703125,-1.12E-06,0.23752677,0.050866535,-241.98302,120.83363,-25.053879,20.464426,-13.485187,-6.978014,-18.39547,-12.154496,-8.828844,-7.2361197,-3.179165,-2.4530344,-7.2060847,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\29.mp3
Song/classical\30.mp3,0.082602233,0.07495414,1397.875004,1485.943874,24.808376,2671.34956,129.1992188,0.000408574,0.2621769,-0.011801139,-211.91234,147.77419,-32.09299,30.101217,-7.6099987,-4.5946164,-0.9157716,-2.845583,-4.310207,4.617134,1.8078629,9.243718,1.2128145,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\30.mp3
Song/classical\31.mp3,0.063885918,0.092290394,1565.628746,2032.81275,28.28139802,2654.250398,129.1992188,-5.43E-07,0.17225137,0.015365612,-318.70984,110.28899,16.015936,-5.6257467,-4.077762,-19.942057,1.4010102,-10.074758,-16.83764,-2.3527265,-18.326654,-6.3049645,-11.357052,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\31.mp3
Song/classical\32.mp3,0.107724738,0.048076674,1847.682405,2017.679643,27.69003939,3706.571206,123.046875,-2.66E-06,0.20834206,0.074799621,-284.9337,103.7899,4.1488256,23.18606,-11.549185,-1.0425559,-15.796939,-9.02906,-7.6929,-5.6508975,-2.8538482,-1.5574301,-4.7510347,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\32.mp3
Song/classical\33.mp3,0.04276124,0.08703397,606.8199693,708.6398673,26.31288387,870.6666738,172.265625,-7.81E-08,0.19217247,0.051867728,-342.46848,196.63937,27.078535,-7.057556,7.341084,-4.8196645,-12.0340805,-8.441597,-10.261695,-11.247112,-4.8403897,-0.50784594,-2.03816,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\33.mp3
Song/classical\34.mp3,0.040825486,0.08986831,977.5079759,1466.757982,25.10910249,1582.349029,135.9991776,-8.14E-06,0.2334064,-0.09261409,-263.3994,150.70406,13.069681,14.12278,-1.833683,0.15436429,-15.603803,-16.799292,-9.097106,-12.68675,-12.1899605,-10.797939,-15.349017,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\34.mp3
Song/classical\35.mp3,0.037080297,0.068473846,975.7994891,1550.258,24.39540493,1571.773945,95.703125,3.33E-07,0.24240081,-0.016652873,-296.32657,143.03093,19.360199,13.399728,0.6401641,-12.279175,-14.400196,-10.56558,-19.18293,-15.629459,-17.170803,-17.864847,-14.084765,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\35.mp3
Song/classical\36.mp3,0.041184239,0.072226584,1177.49512,1879.629509,24.40620222,2194.579795,89.10290948,-7.09E-06,0.2781719,-0.062118553,-250.92206,140.39879,32.19748,21.040594,-6.065792,3.32706,-8.187086,-10.942375,-12.661608,-11.290803,-12.652099,-5.0568614,-13.048878,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\36.mp3
Song/classical\37.mp3,0.062153332,0.072855614,1425.398337,1733.176954,24.18502216,2834.497297,117.4538352,0.000301011,0.2540965,0.023878887,-244.33228,136.69135,-1.494286,30.600578,0.37142697,-15.791221,1.8060087,8.434644,-17.147175,-2.6578596,-3.214269,-7.2599816,-10.65373,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\37.mp3
